pair_age,init_market_cap,scams,funding_time,owner,source,status,verified,end_date,name,holders,tax,ticker,ape_score,spoofed,liquidity,lock,market_cap,previous,contract_age,sell,airdrops,result,ath,whales,red_flags,time_of_day,worth,snipers,buy,fresh,max_transmit,honeypot,safu_score,wallet,sticker,amount
0 mins,,25 out of 30,9 hrs ago,0x89f...62  (11),Binance,Below 50K 🟩🟨🟥,0x213c922cc97808838ea9a1968691f00351d2ae3f,16:15:02:126,SIGN Buy! 🐋🐋🐋🐋,7 (1.1 ETH),30/61.7,🪙 #SIGN,🟢🟢 56%,0 own 0%,2.1,Unknown Lock,15941,,15 mins,(0) 0 - $0,7,-55.3094,,0 own 0%,,16:14:51,"$1,713",18 own 18.3%,(19) 19 - $2k,1 own 1%,2% | 0.04 eth,🟢 (false) -,59% out of 96,"0x030...9E ($19,967)",,$109
0 mins,,212 out of 310,7 hrs ago,0xcF1...18  (5),tsunamitreasury.eth,Below 50K 🟩🟨🟥,0x633a5f2539fe6b211236c61d102f383d2f8b4729,16:15:25:800,Tsunami Buy! 🐋,27 (14.6 ETH),20/53.2,🪙 #TSUN,🟢 22%,0 own 0%,3.3,Unknown Lock,11447,,42 mins,(0) 0 - $0,,108.4965,,0 own 0%,,16:10:44,$723,22 own 25.4%,(25) 25 - $2.2k,0 own 0%,1.5% | 0.09 eth,🟢 (false) - 22/22,64% out of 182,"0x808...ec ($3,053)",,$145
11 mins,,0 out of 0 Unique,43 mins ago,0x780...0a  (6),Coinbase,Below 50K 🟩🟨🟥,0xfd70be2a73a6aba12fbb61a9ca20af8632f8f13f,16:44:02:156,BURNT HAIR Buy! 🐋,39 (55.6 ETH),15/25.5,🪙 #BURNT,🟢 22%,0 own 0%,4.7,Unknown Lock,40589,,22 mins,(4) 1 - $2.2k,1,128.1970,,0 own 0%,,16:37:50,"$3,724",3 own 2.4%,(57) 37 - $7.2k,0 own 0%,1% | 0.24 eth,🟢 (false) - 36/36,65% out of 184,"0x808...ec ($3,196)",,$109
0 mins,,1.2k out of 2k,15 mins ago,0xEdf...b6  (5),FixedFloat,Below 50K 🟩🟨🟥,0x2698931002b10a2206c3f8b36c8c168b01ea6c25,16:47:00:692,PEPE 4.20 Buy! 🐋🐋🐋🐋,30 (35.9 ETH),0/3.9,🪙 #PEPE4.20,🟢🟢 55%,0 own 0%,4.4,Unknown Lock,32745,,13 mins,(0) 0 - $0,2,-31.0455,,0 own 0%,,16:45:24,"$2,336",27 own 32%,(27) 27 - $2.9k,1 own 1%,1.7% | 0.15 eth,🟢 (false) - 20/20,61% out of 99,"0x030...9E ($19,588)",,$109
0 mins,,106 out of 202,504 days ago,0xF39...A3  (32),Binance,Below 50K 🟩🟨🟥,0x2b088bdd1c772699618bc004d7108a2511f8381e,16:59:01:944,Jimmy Buy! 🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳,39 (76.1 ETH),24/31.8,🪙 #JIMMY,🟢 31%,0 own 0%,2.8,Unknown Lock,14038,(1) Baby Chedda,3 mins,(0) 0 - $0,,101.6394,"$1,053,314",1 own 2.3%,,16:58:14,$361,34 own 37.1%,(39) 39 - $2.9k,0 own 0%,3% | 0.22 eth,🟢 (false) -,90% out of 30,"⚡⚡⚡⚡⚡⚡zeuscallz⚡⚡⚡⚡⚡⚡.eth ($51,277)",,$565
4 mins,"$32,745 | 0X",1.2k out of 2k,19 mins ago,0xEdf...b6  (6),FixedFloat,Below 50K 🟩🟨🟥,0x2698931002b10a2206c3f8b36c8c168b01ea6c25,16:59:36:961,PEPE 4.20 Buy! 🐋,84 (52.4 ETH),0/3.8,🪙 #PEPE4.20,🟢 28%,0 own 0%,4.3,Unknown Lock,31260,,17 mins,(38) 17 - $8.8k,2,112.3317,,0 own 0%,,16:49:34,"$4,436",14 own 16.1%,(104) 98 - $14.1k,1 own 1%,,🟢 (false) - 79/80,100% out of 26,"0x3dF...47 ($3,794)",,$546
3 mins,"$14,038 | 1X",106 out of 202,504 days ago,0xF39...A3  (32),Binance,Below 50K 🟩🟨🟥,0x2b088bdd1c772699618bc004d7108a2511f8381e,17:02:01:570,Jimmy Buy! 🐋🐋🐋,61 (92.5 ETH),24/32.9,🪙 #JIMMY,🟢 37%,0 own 0%,3.2,Unknown Lock,18833,(1) Baby Chedda,7 mins,(10) 5 - $3.5k,,-68.0763,"$1,053,314",1 own 2.3%,,17:01:57,"$1,611",32 own 32.5%,(68) 68 - $7.6k,0 own 0%,3% | 0.35 eth,🟢 (false) - 13/13,84% out of 127,"0x07b...43 ($10,664)",,$91
31 mins,"$15,941 | 7X",25 out of 30,9 hrs ago,0x89f...62  (15),Binance,,0x213c922cc97808838ea9a1968691f00351d2ae3f,17:02:37:940,SIGN Buy! 🐋,80 (112.1 ETH),2/29.9,,🟢 20%,0 own 0%,5.7,98% | 30 days | Unicrypt,118712,,47 mins,(14) 7 - $9.1k,8,100.6658,,2 own 1.3%,,16:46:36,"$6,184",13 own 12.3%,,4 own 1.3%,2% | 1.7 eth,🟢 (false) - 70/70,100% out of 13,"insidddoooooor.eth ($4,546)",🪙 #SIGN,$218
36 days 18 hrs,,4 out of 19,36 days ago,RENOUNCED (12),Binance,Below 10K 🟩🟩🟩,0x501b6eb1a0d6ea3b79b9b289552f3e2601799f98,17:05:25:252,FTX 2.0 Buy! 🐋🐋,24 (16.9 ETH),0/0,🪙 #FTX2,🟢 19%,0 own 0%,1.6,99% | BURNT,6891,,36 days 18 hrs,(0) 0 - $0,,102.9274,,0 own 0%,,17:04:21,$0,1 own 1.4%,(6) 6 - $1.2k,0 own 0%,,🟢 (false) - 25/25,83% out of 6,"0xb88...07 ($5,527)",,$182
5 hrs 18 mins,"$5,553 | 77X",1.2k out of 1.4k,3 days ago,UNKNOWN (8),FixedFloat,,0xa8643451ae0401b645443682055be70dc05b6950,17:05:49:415,FTX 2.0 Buy! 🐋,252 (392.9 ETH),0/0,,🟢 24%,1 own 0.7%,28.4,100% | BURNT,430797,,5 hrs 19 mins,(600) 410 - $748.5k,,-39.0813,,3 own 4.2%,,16:33:20,$207,0 own 0%,,4 own 2.5%,,🟢 (false) - 214/214,92% out of 48,"0xB95...16 ($3,334)",🪙 #FTX2.0,"$1,001"
5 hrs 51 mins,"$5,553 | 48X",1.2k out of 1.4k,3 days ago,UNKNOWN (8),FixedFloat,,0xa8643451ae0401b645443682055be70dc05b6950,17:10:37:976,FTX 2.0 Buy! 🐋,292 (1021.8 ETH),0/0,,🟢 11%,1 own 0.7%,22.9,100% | BURNT,267452,,5 hrs 52 mins,(835) 498 - $1.2M,,-30.2672,,5 own 5.8%,,17:06:33,$207,0 own 0%,,3 own 2.3%,,🟢 (false) - 240/240,95% out of 37,"0xc05...89 ($4,389)",🪙 #FTX2.0,$364
25 mins,"$40,589 | 2X",0 out of 0 Unique,57 mins ago,0x780...0a  (6),Coinbase,,0xfd70be2a73a6aba12fbb61a9ca20af8632f8f13f,17:12:37:543,BURNT HAIR Buy! 🐋🐋,61 (105.5 ETH),15/33.3,,🟢 23%,0 own 0%,8,Unknown Lock,114113,,35 mins,(8) 3 - $2.8k,1,-30.6911,,0 own 0%,,16:51:37,"$4,080",3 own 2.4%,,2 own 0.5%,1% | 0.69 eth,🟢 (false) - 57/57,100% out of 3,"0xA3F...4e ($5,641)",🪙 #BURNT,$182
1 mins,,0 out of 0 Unique,11 hrs ago,0xAf9...7e  (4),Binance,Below 100K 🟥🟥🟥,0xe479283da77e0bc701e29b513dee4c2be1d39336,17:14:37:467,Black Rock Buy! 🐋,61 (85.8 ETH),0/19.9,🪙 $ROCK,🟢 5%,0 own 0%,9.3,Unknown Lock,52002,,11 mins,(4) 2 - $10.7k,,-30.5958,,1 own 2.3%,,17:03:21,$753,3 own 31.8%,(54) 52 - $21.2k,1 own 2.5%,,🟢 (false) - 50/50,100% out of 5,"0x321...1f ($3,131)",,$91
10 mins,"$14,038 | 2X",106 out of 202,504 days ago,RENOUNCED (39),Binance,Below 50K 🟩🟨🟥,0x2b088bdd1c772699618bc004d7108a2511f8381e,17:14:49:455,Jimmy Buy! 🐋🐋,71 (63.8 ETH),1/16.6,🪙 #JIMMY,🟢 21%,0 own 0%,4.4,99% | 63 days | Unicrypt,34650,(1) Baby Chedda,13 mins,(39) 20 - $8.1k,,104.5963,"$1,053,314",0 own 0%,,17:08:39,"$2,751",28 own 38.2%,(114) 89 - $14k,0 own 0%,,🟢 (false) - 52/52,92% out of 106,"0x1d8...4f ($6,722)",,$364
