pair_age,init_market_cap,scams,funding_time,owner,source,status,verified,end_date,name,holders,tax,ticker,ape_score,spoofed,liquidity,lock,market_cap,previous,contract_age,sell,airdrops,result,ath,whales,red_flags,time_of_day,worth,snipers,buy,fresh,max_transmit,honeypot,safu_score,wallet,sticker,amount
1 mins,,18 out of 30,12 days ago,0x3c2...1c  (17),0x3bb...f8,Below 100K 🟥🟥🟥,0x2d019a83e5a83b3c7b222cd908b13c1c72707fd6,16:35:36:957,AllFather Buy! 🐋,21 (516.3 ETH),4/3.6,🪙 #ALLFATHER,🟢 33%,1 own 3.8%,17.5,Unknown Lock,57285,,1 days 10 hrs,(19) 19 - $0,1,-44.4136,,6 own 17.8%,,16:22:33,$775,2 own 4.7%,(0) 0 - $0,2 own 5.8%,,🟢 (false) - 16/16,69% out of 16,"0x82b...8A ($3,508)",,$189
0 mins,,203 out of 455,14 mins ago,0x748...20  (7),Binance,Below 50K 🟩🟨🟥,0x80071a9c2ac162619f700f08da8791c5b931f612,16:54:12:786,FKAZUKI ELEMENTALS Buy! 🐋,70 (37.9 ETH),0/4.4,🪙 #FKAZUKI,🟢🟢 51%,6 own 11.9%,3.2,Unknown Lock,25856,,10 mins,(18) 7 - $5.9k,1,-40.9256,,0 own 0%,,16:53:56,"$2,502",46 own 43.6%,(74) 63 - $9k,1 own 0.2%,2% | 0.2 eth,🟢 (false) - 63/63,94% out of 36,"0x310...60 ($4,241)",,$154
7 mins,"$25,856 | 1X",203 out of 455,21 mins ago,RENOUNCED (10),Binance,Below 50K 🟩🟨🟥,0x80071a9c2ac162619f700f08da8791c5b931f612,17:01:26:284,FKAZUKI ELEMENTALS Buy! 🐋,118 (83.6 ETH),0/5,🪙 #FKAZUKI,🟢 30%,3 own 5.9%,3.7,98% | 27 days | Unicrypt,34950,,17 mins,(78) 32 - $23.2k,1,-30.6681,,1 own 1.8%,,17:00:44,"$7,384",31 own 27.8%,(164) 138 - $28.4k,0 own 0%,,🟢 (false) - 113/113,100% out of 14,"0x183...06 ($3,447)",,$0
0 mins,,2 out of 11,22 hrs ago,0xc93...95  (3),Binance,Below 50K 🟩🟨🟥,0x5055490eb2a8e4c1d0e249a2fd7407fb535e8700,17:02:12:940,Lucky Cat Buy! 🐋,2 (0.1 ETH),0/9.8,🪙 #LUCKY,🟢 -10%,0 own 0%,1.6,Unknown Lock,17077,,22 hrs 7 mins,(0) 0 - $0,,-50.1008,,0 own 0%,,17:01:41,$260,6 own 4.9%,(11) 11 - $1.1k,0 own 0%,2% | 0.19 eth,🟢 (false) -,100% out of 3,"0xBf5...D1 ($4,318)",,$188
2 hrs 40 mins,,42 out of 46,4 hrs ago,UNKNOWN (12),Binance,Below 50K 🟩🟨🟥,0x806bd24c88dfe95da52659f858473efd59aa727e,17:06:49:258,TOAST Buy! 🐋🐋,31 (8.9 ETH),0/0,🪙 #TOAST,🟢 18%,0 own 0%,2.7,99% | 182 days | Unicrypt,15059,,4 hrs 27 mins,(38) 28 - $7.1k,2,-30.6803,,1 own 0%,,16:52:35,$0,1 own 2.2%,(64) 51 - $10.2k,4 own 17.8%,,🟢 (false) - 18/18,93% out of 28,"0xf18...12 ($5,886)",,$113
0 mins,,59 out of 59,1 days ago,0x805...AF  (16),0xF49...02,Below 50K 🟩🟨🟥,0xd3495a8c1256e6d2afa9db8969400449332bdd78,17:09:24:928,QUAKE Buy! 🐋,3 (0.0 ETH),0/89.8,🪙 #QUAKE,🟢 15%,0 own 0%,6,Unknown Lock,13657,(1) POPO,5 mins,(0) 0 - $0,,113.2041,"$9,353",0 own 0%,,17:04:44,"$9,844",0 own 0%,(4) 4 - $1.9k,0 own 0%,,🟢 (false) - 2/2,94% out of 34,"0x97A...3a ($3,286)",,$94
0 mins,,206 out of 302,2 days ago,0x1DF...B9  (19),0x021...7b,,0xf2ab7eb71e1016bbd4a6fe399f6c841adff4f66e,17:14:38:116,QUAKE Buy! 🐋🐋,,2/10,,🟢 37%,,43.7,Unknown Lock,874493,,20 mins,(0) 0 - $0,1,-32.2174,,,,17:14:27,"$13,673",,,,,🟢 (false) -,75% out of 393,"0xd2f...E7 ($7,087)",🪙 #QUAKE,$188
11 mins,"$17,077 | 0X",2 out of 11,22 hrs ago,RENOUNCED (9),Binance,Below 50K 🟩🟨🟥,0x5055490eb2a8e4c1d0e249a2fd7407fb535e8700,17:14:50:794,Lucky Cat Buy! 🐋,74 (26.6 ETH),0/9.2,🪙 #LUCKY,🟢 -1%,0 own 0%,1.3,99% | BURNT,11179,,22 hrs 19 mins,(52) 24 - $10.2k,1,-30.0030,,0 own 0%,,17:13:17,$228,1 own 0.1%,(86) 82 - $10.8k,3 own 1.3%,8% | 0.74 eth,🟢 (false) - 59/59,100% out of 4,"0xBf5...D1 ($3,929)",,$158
1 mins,,3 out of 10,51 mins ago,0xF6F...B1  (3),Coinbase,Below 10K 🟩🟩🟩,0xefa2bac90c2aeb228e89e4061d0b0cf831531bee,17:28:25:018,CHARIZARD Buy! 🐋🐋,13 (6.7 ETH),5/16.8,🪙 #CHAR,🟢 20%,0 own 0%,1.3,Unknown Lock,3298,,50 mins,(0) 0 - $0,,103.6491,,0 own 0%,,17:26:13,"$1,067",5 own 8.1%,(11) 11 - $512.5,0 own 0%,2% | 0.04 eth,🟢 (false) - 11/11,100% out of 7,"0x54e...5E ($8,402)",,$56
15 mins,"$7,536 | 0X",2 out of 11,22 hrs ago,RENOUNCED (10),Binance,Below 10K 🟩🟩🟩,0x5055490eb2a8e4c1d0e249a2fd7407fb535e8700,17:33:38:473,Lucky Cat Buy! 🐋,69 (27.3 ETH),0/6.9,🪙 #LUCKY,🟢 -1%,0 own 0%,0.9,99% | BURNT,5655,,22 hrs 22 mins,(70) 32 - $11.5k,2,-32.9780,,0 own 0%,,17:16:33,$226,1 own 0.1%,(91) 83 - $11.4k,3 own 1.3%,8% | 0.32 eth,🟢 (false) - 55/55,100% out of 4,"0xBf5...D1 ($3,574)",,$188
6 mins,"$3,298 | 4X",3 out of 10,56 mins ago,0xF6F...B1  (5),Coinbase,Below 50K 🟩🟨🟥,0xefa2bac90c2aeb228e89e4061d0b0cf831531bee,17:33:38:478,CHARIZARD Buy! 🐋,45 (25.2 ETH),5/18.9,🪙 #CHAR,🟢 22%,0 own 0%,2.7,100% | 30 days | Trust Swap,14289,,55 mins,(8) 4 - $408.7,,109.2614,,0 own 0%,,17:30:43,$956,4 own 6.3%,(46) 45 - $3.4k,0 own 0%,2% | 0.15 eth,🟢 (false) - 41/41,96% out of 28,"0xe2a...15 ($3,203)",,$188
9 mins,"$3,298 | 9X",3 out of 10,59 mins ago,0xF6F...B1  (5),Coinbase,Below 50K 🟩🟨🟥,0xefa2bac90c2aeb228e89e4061d0b0cf831531bee,17:44:37:506,CHARIZARD Buy! 🐋🐋,63 (36.9 ETH),5/16.3,🪙 #CHAR,🟢 7%,0 own 0%,3.9,98% | 30 days | Trust Swap,29902,,58 mins,(15) 7 - $1.6k,,-30.6426,,0 own 0%,,17:33:49,"$1,202",4 own 6.3%,(69) 68 - $6.6k,0 own 0%,2% | 0.35 eth,🟢 (false) - 60/60,81% out of 21,"theonlythingthatgivesordersinthisworldisballs.eth ($9,622)",,$94
10 mins,"$25,856 | 1X",203 out of 455,24 mins ago,RENOUNCED (11),Binance,Below 50K 🟩🟨🟥,0x80071a9c2ac162619f700f08da8791c5b931f612,17:44:49:421,FKAZUKI ELEMENTALS Buy! 🐋,124 (80.1 ETH),0/4.8,🪙 #FKAZUKI,🟢 32%,3 own 5.9%,4.1,98% | 27 days | Unicrypt,41628,,20 mins,(82) 34 - $24.6k,1,-30.7128,,1 own 1.8%,,17:03:59,"$7,152",30 own 26.4%,(174) 146 - $30.4k,0 own 0%,,🟢 (false) - 119/119,94% out of 82,"0x243...c4 ($3,036)",,$226
0 mins,,184 out of 335,23 hrs ago,RENOUNCED (6),0x406...2f,Below 10K 🟩🟩🟩,0xe92491ec9ba7ab9722679a2fc995b024b7d0885d,17:58:37:098,WHALE Buy! 🐋🐋,,0/0,🪙 #WHALE,🟢 10%,,0.6,Unknown Lock,1932,,23 hrs 7 mins,(0) 0 - $0,,165.9233,,,,17:58:20,$115,,(0) 0 - $0,,,🟢 (false) -,78% out of 23,"0xdF4...75 ($6,485)",,$471
3 mins,"$874,493 | 0X",206 out of 302,2 days ago,0x1DF...B9  (22),0x021...7b,,0xf2ab7eb71e1016bbd4a6fe399f6c841adff4f66e,18:07:49:337,QUAKE Buy! 🐋🐋,212 (264.0 ETH),2/10,,🟢 35%,1 own 0.3%,19.7,99% | 92 days | Unicrypt,175429,,23 mins,(68) 48 - $107.5k,1,-33.1047,,4 own 3.6%,,17:17:57,"$24,316",52 own 9.1%,,16 own 9.9%,2.5% | 2.66 eth,🟢 (false) - 159/159,75% out of 4,"0xf24...58 ($8,021)",🪙 #QUAKE,$942
8 mins,,4 out of 5,1 hrs ago,RENOUNCED (10),Binance,Below 10K 🟩🟩🟩,0x51b84e19861c484549dc038fee0127a6992692c0,18:09:13:741,Pigachu Buy! 🐋,10 (1.6 ETH),0/6.2,🪙 #PIGA,🟢 23%,0 own 0%,1.3,99% | 6 days | Pinksale,3685,(1) (https,20 mins,(2) 1 - $126.9,,-42.4737,$0,0 own 0%,,18:07:44,"$1,407",4 own 8.7%,(10) 9 - $749,0 own 0%,10% | 0.23 eth,🟢 (false) - 8/8,97% out of 30,"0xe2a...15 ($3,030)",,$94
10 mins,,3 out of 3,3 hrs ago,RENOUNCED (10),Binance,Below 10K 🟩🟩🟩,0xebaa56a8560dc034e8394f6e1077449730c6cb38,18:16:13:765,Seven Dwarfs Buy! 🐋🐋,13 (2.1 ETH),0/0,🪙 #DWARFS,🟢 14%,0 own 0%,1.4,100% | BURNT,3732,,17 mins,(4) 4 - $1k,,114.4199,,0 own 0%,,18:12:30,$664,0 own 0%,(25) 17 - $1.8k,2 own 8.2%,,🟢 (false) - 13/13,100% out of 4,"0xb88...07 ($6,812)",,$66
13 days 6 hrs,"$12,378 | 13X",1.1k out of 1.4k,13 days ago,RENOUNCED (39),Binance,,0x9908f74b7b016de73d575e75badc3b0f60d834c6,18:21:25:105,0xAuditor Buy! 🐋,221 (46.7 ETH),4/5.2,,🟢 17%,0 own 0%,10,99% | 80 days | Unicrypt,172201,,13 days 6 hrs,(57) 23 - $19.1k,1,-32.7959,,0 own 0%,,17:09:14,"$11,334",0 own 0%,,3 own 0%,,🟢 (false) - 238/238,100% out of 6,"0x8d9...98 ($3,034)",🪙 #0xA,$282
54 mins,"$159,216 | 0X",206 out of 303,2 days ago,RENOUNCED (25),0x021...7b,,0xf2ab7eb71e1016bbd4a6fe399f6c841adff4f66e,18:23:37:559,QUAKE Buy! 🐋🐋🐋🐋🐋,259 (464.5 ETH),2/3.7,,🟢 19%,1 own 0.3%,16.8,99% | 92 days | Unicrypt,125822,,1 hrs 14 mins,(278) 198 - $265.7k,1,-33.9065,,6 own 5.4%,,18:08:35,"$29,996",25 own 3.6%,,4 own 1.3%,2.5% | 1.75 eth,🟢 (false) - 227/227,90% out of 195,"ucanfollowme.eth ($20,131)",🪙 #QUAKE,$943
7 mins,,9 out of 13,2 hrs ago,RENOUNCED (10),Binance,Below 10K 🟩🟩🟩,0x3c9a54dabfb51f0e116d0c8376d4c1234fabcf7c,18:26:01:273,Sprut Buy! 🐋,26 (7.4 ETH),5/4.9,🪙 #SPRUT,🟢🟢🟢 63%,0 own 0%,3,98% | 29 days | Unicrypt,8417,,11 mins,(2) 1 - $516.3,,-31.4467,,0 own 0%,,17:23:19,$943,10 own 15.8%,(28) 26 - $2.4k,6 own 10%,,🟢 (false) - 25/25,75% out of 12,"0xD8D...Dc ($3,624)",,$103
1 hrs 23 mins,"$25,856 | 1X",203 out of 455,1 hrs ago,RENOUNCED (14),Binance,Below 100K 🟥🟥🟥,0x80071a9c2ac162619f700f08da8791c5b931f612,18:28:50:609,FKAZUKI ELEMENTALS Buy! 🐋🐋,187 (70.4 ETH),0/0,🪙 #FKAZUKI,🟢 21%,1 own 0.4%,4.6,98% | 27 days | Unicrypt,51284,,1 hrs 33 mins,(332) 170 - $113.2k,1,103.1361,,1 own 1.8%,,18:16:21,"$9,909",14 own 10%,(488) 330 - $119.9k,6 own 1.8%,,🟢 (false) - 165/165,80% out of 44,"0x0B1...66 ($7,798)",,$188
3 hrs 20 mins,"$11,566 | 1X",1 out of 3,3 hrs ago,RENOUNCED (35),Binance,Below 50K 🟩🟨🟥,0xbd36d26b45779b1e9aa4cc3b0f34748fe1beb399,18:35:25:649,BlockTrack Buy! 🐋🐋,88 (47.7 ETH),5/9.1,🪙 #BTrack,🟢 21%,1 own 0.1%,3.8,98% | 92 days | Unicrypt,14927,,3 hrs 47 mins,(174) 84 - $36.4k,15,-32.7343,,0 own 0%,,18:34:43,"$12,331",4 own 2.7%,(192) 158 - $44.5k,2 own 0.6%,2% | 0.46 eth,🟢 (false) - 74/78,91% out of 105,"0x1d8...4f ($7,013)",,$299
9 mins,,0 out of 0 Unique,1 days ago,UNKNOWN (8),Binance,Below 50K 🟩🟨🟥,0xf6acbe46b4e408d0eb9454b124849b2f283ba461,18:43:25:400,Daddy Cool Buy! 🐋,45 (21.3 ETH),10/24.7,🪙 #Daddy Cool 🕶️,🟢 27%,0 own 0%,4,Unknown Lock,16258,(1) (https,32 mins,(0) 0 - $0,,-31.0443,$0,0 own 0%,,18:39:01,"$3,710",2 own 2%,(75) 43 - $3.7k,11 own 10.3%,1% | 0.09 eth,🟢 (false) - 33/33,83% out of 29,"0x03B...9E ($3,775)",,$162
1 hrs 37 mins,"$25,856 | 1X",203 out of 455,1 hrs ago,RENOUNCED (14),Binance,Below 50K 🟩🟨🟥,0x80071a9c2ac162619f700f08da8791c5b931f612,18:47:25:096,FKAZUKI ELEMENTALS Buy! 🐋🐋🐋🐋🐋,174 (68.9 ETH),0/0,🪙 #FKAZUKI,🟢 19%,1 own 0.4%,3.4,98% | 27 days | Unicrypt,27762,,1 hrs 47 mins,(387) 202 - $125.6k,1,100.2096,,1 own 1.8%,,18:30:58,"$9,911",9 own 5.1%,(541) 349 - $130.2k,7 own 1.9%,,🟢 (false) - 152/152,90% out of 195,"ucanfollowme.eth ($20,217)",,$377
2 hrs 18 mins,"$100,730 | 1X",6 out of 28,3 hrs ago,RENOUNCED (12),Bybit,,0x6d4695f7e8d7f9615314a743335702d7eaba4575,18:49:37:127,LiquiShield Buy! 🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳,176 (100.1 ETH),5/6.2,,🟢 11%,0 own 0%,11.8,98% | 94 days | Unicrypt,132632,,2 hrs 22 mins,(161) 106 - $91.6k,1,-34.3321,,1 own 0.8%,,17:27:19,"$6,244",9 own 11.2%,,5 own 7.7%,,🟢 (false) - 163/163,100% out of 30,"0xA55...4B ($399,303)",🪙 #LiqS,$94
1 mins,,15 out of 17,7 mins ago,0xd4C...58  (5),Binance,Below 50K 🟩🟨🟥,0x595826a31e62cd64210a859bb19ab57773507579,18:52:37:274,EID MUBARAK Buy! 🐋,29 (280.0 ETH),0/9.2,🪙 #EID,🟢 12%,0 own 0%,4.3,Unknown Lock,19446,,3 mins,(0) 0 - $0,,-48.7909,,3 own 5.3%,,18:50:37,$367,20 own 0.4%,(33) 33 - $4.8k,16 own 0%,2% | 0.18 eth,🟢 (false) - 9/9,84% out of 38,"0xAcb...f8 ($3,385)",,$94
2 hrs 2 mins,"$25,856 | 0X",203 out of 455,2 hrs ago,RENOUNCED (14),Binance,Below 50K 🟩🟨🟥,0x80071a9c2ac162619f700f08da8791c5b931f612,19:00:12:860,FKAZUKI ELEMENTALS Buy! 🐋🐋,138 (148.5 ETH),0/0,🪙 #FKAZUKI,🟢 21%,1 own 0.5%,3,98% | 27 days | Unicrypt,21349,,2 hrs 11 mins,(447) 245 - $132.7k,1,-35.2129,,2 own 2.3%,,18:55:04,"$9,916",7 own 5%,(588) 359 - $136.5k,5 own 1.8%,,🟢 (false) - 121/121,79% out of 43,"0x0B1...66 ($7,839)",,$94
22 mins,,0 out of 0 Unique,2 days ago,0x876...E1  (6),0x9e5...d2,Below 10K 🟩🟩🟩,0xa4d8d8a82ddeeedc8bcfdeb6525bc972fc2cc20e,19:05:13:126,Abracadabra Buy! 🐋,46 (74.3 ETH),0/0,🪙 #ABRCDBRA,🟢 26%,0 own 0%,0.3,Unknown Lock,856,,27 mins,(1) 1 - $2.8,,134.4532,,0 own 0%,,19:04:58,"$1,232",1 own 0.5%,(34) 34 - $104.6,11 own 5.5%,0.5% | 0 eth,🟢 (false) - 32/32,85% out of 40,"0xdda...30 ($3,499)",,$301
22 mins,$856 | 1X,0 out of 0 Unique,2 days ago,0x876...E1  (6),0x9e5...d2,Below 10K 🟩🟩🟩,0xa4d8d8a82ddeeedc8bcfdeb6525bc972fc2cc20e,19:05:49:894,Abracadabra Buy! 🐋🐋,46 (74.2 ETH),0/0,🪙 #ABRCDBRA,🟢 33%,0 own 0%,0.4,Unknown Lock,1188,,27 mins,(1) 1 - $2.8,,272.6794,,0 own 0%,,19:05:13,"$1,232",1 own 0.5%,(34) 34 - $104.6,11 own 5.5%,0.5% | 0 eth,🟢 (false) - 33/33,87% out of 31,"0xd5B...5D ($5,595)",,$67
23 mins,$856 | 19X,0 out of 0 Unique,2 days ago,0x876...E1  (6),0x9e5...d2,Below 50K 🟩🟨🟥,0xa4d8d8a82ddeeedc8bcfdeb6525bc972fc2cc20e,19:07:13:963,Abracadabra Buy! 🐋🐋,180 (134.3 ETH),0/0,🪙 #ABRCDBRA,🟢 37%,0 own 0%,1.5,Unknown Lock,16979,,29 mins,(5) 2 - $8.1k,,-42.3455,,1 own 0.5%,,19:06:23,"$1,232",1 own 0.5%,(404) 176 - $10.1k,12 own 5.9%,0.5% | 0.05 eth,🟢 (false) - 159/159,75% out of 392,"0xd2f...E7 ($6,430)",,$56
8 mins,,4 out of 6,1 hrs ago,RENOUNCED (19),Binance,,0x20f8f0befcb5170bf5b33a0ffe602948e18538a8,19:09:24:851,ELEMENTAL Buy! 🐋🐋,99 (76.0 ETH),0/0,,🟢 21%,0 own 0%,8.8,100% | 29 days | Pinksale,286471,,1 hrs 8 mins,(27) 26 - $17.2k,4,-30.3172,,0 own 0%,,19:03:09,"$13,917",4 own 1%,,3 own 18.7%,,🟢 (false) - 46/46,79% out of 43,"0x0B1...66 ($7,824)",🪙 $MENTAL,$566
5 hrs 9 mins,"$17,622 | 2X",1.1k out of 2k,1 days ago,RENOUNCED (16),0x33D...98,Below 50K 🟩🟨🟥,0x1c08b638689b98f6604ef0920444787dc3b64cb0,19:14:49:330,AZUKI Buy! 🐋🐋🐋🐋🐋,114 (405.1 ETH),0/0,🪙 #AZUKI,🟢 17%,0 own 0%,8.5,99% | 29 days | Unicrypt,48199,,5 hrs 21 mins,(261) 155 - $97.2k,2,-30.2883,,3 own 4.6%,,16:56:08,"$9,033",4 own 3%,(306) 260 - $105.7k,3 own 11.1%,,🟢 (false) - 100/100,100% out of 4,"ketamine69.eth ($23,327)",,$507
7 mins,"$3,135 | 31X",282 out of 394,1 hrs ago,0x83D...2D  (10),FixedFloat,Below 100K 🟥🟥🟥,0x1a2f294c0a2c7a3a2373f48fd0f811ff90e5f5cc,19:26:49:664,AzukiBeanElemental40mINU Buy! 🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳,125 (207.3 ETH),0/0,🪙 #Zagabond,🟢 18%,0 own 0%,8.6,99% | 61 days | Unicrypt,99101,,12 mins,(112) 37 - $147k,,-30.1833,,2 own 2.3%,,19:22:51,$652,19 own 18.7%,(274) 161 - $160.4k,4 own 3.6%,,🟢 (false) - 123/124,100% out of 5,"0x467...Fc ($91,514)",,$188
15 mins,"$3,135 | 28X",282 out of 394,1 hrs ago,0x83D...2D  (10),FixedFloat,Below 100K 🟥🟥🟥,0x1a2f294c0a2c7a3a2373f48fd0f811ff90e5f5cc,19:36:37:573,AzukiBeanElemental40mINU Buy! 🐋,134 (207.9 ETH),0/0,🪙 #Zagabond,🟢 8%,0 own 0%,8.2,99% | 61 days | Unicrypt,89960,,21 mins,(135) 54 - $206.9k,,-31.5270,,2 own 2.3%,,19:31:21,$652,19 own 18.4%,(306) 187 - $220k,4 own 3.6%,,🟢 (false) - 130/130,94% out of 33,"0xdFe...Fd ($3,287)",,$94
17 mins,"$240,091 | 0X",4 out of 6,1 hrs ago,RENOUNCED (19),Binance,,0x20f8f0befcb5170bf5b33a0ffe602948e18538a8,19:38:04:871,ELEMENTAL Buy! 🐋🐋,84 (73.2 ETH),0/0,,🟢 24%,0 own 0%,6.4,100% | 29 days | Pinksale,149378,,1 hrs 16 mins,(66) 56 - $32.1k,4,-34.3381,,0 own 0%,,19:11:53,"$13,910",3 own 0.9%,,2 own 18.3%,,🟢 (false) - 42/42,100% out of 14,"joebiden.eth ($5,245)",🪙 $MENTAL,$309
3 hrs 27 mins,"$11,566 | 3X",1 out of 3,3 hrs ago,RENOUNCED (35),Binance,Below 50K 🟩🟨🟥,0xbd36d26b45779b1e9aa4cc3b0f34748fe1beb399,19:54:13:106,BlockTrack Buy! 🐋,104 (50.4 ETH),5/7.7,🪙 #BTrack,🟢 17%,1 own 0.1%,6,98% | 92 days | Unicrypt,36702,,3 hrs 53 mins,(179) 86 - $42k,15,104.9597,,0 own 0%,,18:41:16,"$12,788",4 own 2.7%,(220) 171 - $49.5k,2 own 0.6%,2% | 0.42 eth,🟢 (false) - 88/92,98% out of 87,"0x61d...D4 ($3,858)",,$188
5 days 1 hrs,"$9,740 | 48X",1.1k out of 1.4k,5 days ago,RENOUNCED (18),Kucoin,,0xb08fc26e97e95a310a43c086ab76449f082f6d92,19:56:25:418,Twitter Girl Buy! 🐋🐋🐋,123 (95.9 ETH),3/3,,🟢 22%,0 own 0%,11.8,99% | 24 days | Trust Swap,467692,,5 days 2 hrs,(171) 61 - $96.7k,3,-34.0266,,0 own 0%,,19:31:57,$0,1 own 0.4%,,6 own 31.4%,,🟢 (false) - 92/93,92% out of 38,"0x6A9...f1 ($11,380)",🪙 #TITTER,"$1,130"
23 mins,,0 out of 1,1 hrs ago,0x704...47  (6),0x048...E4,Below 10K 🟩🟩🟩,0x525745cdbe46bc05aea07e7169010bc60038ef94,20:05:13:177,Platypus Buy! 🐋,24 (21.4 ETH),0/0,🪙 #PLATY,🟢 22%,0 own 0%,0.6,Unknown Lock,1554,,26 mins,(0) 0 - $0,,100.5790,,0 own 0%,,19:49:52,$856,1 own 0.8%,(23) 22 - $242.5,4 own 3.6%,0.9% | 0.01 eth,🟢 (false) - 23/23,63% out of 56,"😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴.eth ($4,553)",,$54
0 mins,,18 out of 26,4 days ago,0xCB5...AF  (5),FixedFloat,Below 10K 🟩🟩🟩,0xbc3e10b8afa0ea971b356afbcf663f3a83f0d0b3,20:12:01:181,Tuturuu Buy! 🐋🐋,33 (64.3 ETH),20/35.7,🪙 #TU,🟢 37%,0 own 0%,2.2,Unknown Lock,9320,,4 days 5 hrs,(0) 0 - $0,1,102.2784,,1 own 1.6%,,20:02:10,$369,23 own 28.4%,(30) 30 - $1.8k,1 own 0.8%,2% | 0.1 eth,🟢 (false) - 26/26,75% out of 393,"0xd2f...E7 ($6,221)",,$188
44 mins,"$1,554 | 2X",0 out of 1,1 hrs ago,0x704...47  (6),0x048...E4,Below 10K 🟩🟩🟩,0x525745cdbe46bc05aea07e7169010bc60038ef94,20:19:01:938,Platypus Buy! 🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳,49 (123.8 ETH),0/0,🪙 #PLATY,🟢 34%,0 own 0%,1,Unknown Lock,3996,,47 mins,(3) 3 - $49.9,,-31.3768,,1 own 0.9%,,20:10:41,$855,1 own 0.8%,(63) 52 - $1k,5 own 4.5%,0.9% | 0.02 eth,🟢 (false) - 55/57,86% out of 176,"0xb8f...57 ($55,530)",,$31
50 mins,"$3,298 | 8X",3 out of 10,1 hrs ago,RENOUNCED (11),Coinbase,Below 50K 🟩🟨🟥,0xefa2bac90c2aeb228e89e4061d0b0cf831531bee,20:21:01:182,CHARIZARD Buy! 🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳,97 (25.5 ETH),2/2.9,🪙 #CHAR,🟢 17%,0 own 0%,3.9,97% | 30 days | Trust Swap,28425,,1 hrs 40 mins,(104) 54 - $17.5k,,-30.3450,,0 own 0%,,18:15:21,$524,2 own 3%,(171) 144 - $22.8k,1 own 0.8%,2% | 0.33 eth,🟢 (false) - 90/90,100% out of 5,"0xfaf...d8 ($71,627)",,$188
30 mins,,5 out of 14,11 hrs ago,0x856...c3  (15),0xfE3...4F,Below 10K 🟩🟩🟩,0x8f845a733c2076c70231ae2c787e5a323e58c4a5,20:26:01:845,The Wizard of Oz Buy! 🐋,17 (1.5 ETH),10/29.9,🪙 #DOROTHY,🟢 23%,1 own 0%,1,Unknown Lock,3088,(1) (https,41 mins,(20) 10 - $872.9,2,-34.0148,$0,0 own 0%,,20:14:21,$185,0 own 0%,(25) 22 - $1.5k,7 own 14.9%,2.8% | 0.05 eth,🟢 (false) - 10/10,95% out of 40,"0xc8c...AC ($3,202)",,$86
2 hrs 4 mins,"$2,927 | 13X",0 out of 0 Unique,2 hrs ago,RENOUNCED (21),Kucoin,Below 50K 🟩🟨🟥,0xfb66321d7c674995dfcc2cb67a30bc978dc862ad,20:32:13:631,Pepe 2.0 Buy! 🐋,177 (99.1 ETH),1/1,🪙 #PEPE2.0,🟢 10%,1 own 0.4%,3.8,98% | 91 days | Unicrypt,38633,,2 hrs 37 mins,(232) 152 - $63.9k,1,109.5312,,2 own 1.4%,,20:26:57,"$1,444",2 own 0.7%,(442) 301 - $70.6k,8 own 5%,,🟢 (false) - 148/148,89% out of 94,"0xAe6...03 ($3,197)",,$93
1 hrs 54 mins,"$137,646 | 1X",206 out of 303,2 days ago,RENOUNCED (31),0x021...7b,,0xf2ab7eb71e1016bbd4a6fe399f6c841adff4f66e,20:35:13:772,QUAKE Buy! 🐋🐋🐋🐋,253 (360.5 ETH),2/2,,🟢 29%,1 own 0.3%,20.4,99% | 92 days | Unicrypt,183599,,2 hrs 14 mins,(365) 263 - $301.6k,1,-30.7914,,4 own 3.8%,,19:08:50,"$27,165",20 own 3.4%,,2 own 1%,2.5% | 2.75 eth,🟢 (false) - 217/217,75% out of 4,"0xBc1...d7 ($15,423)",🪙 #QUAKE,"$1,887"
2 hrs 29 mins,"$2,927 | 34X",0 out of 0 Unique,3 hrs ago,RENOUNCED (21),Kucoin,,0xfb66321d7c674995dfcc2cb67a30bc978dc862ad,20:57:25:144,Pepe 2.0 Buy! 🐋,226 (101.3 ETH),1/4,,🟢 9%,1 own 0.4%,6.2,98% | 91 days | Unicrypt,101314,,3 hrs 2 mins,(279) 179 - $78.8k,1,101.4016,,2 own 1.4%,,20:51:50,"$1,442",2 own 0.7%,,8 own 5.1%,,🟢 (false) - 178/178,100% out of 3,"0x8B4...b2 ($3,349)",🪙 #PEPE2.0,$553
