mcap,liquidity,buy,sell,scams,worth,contract_age,pair_age,funding_time,airdrops,amount,wallet,ape_score,safu_score,buy_tax,sell_tax,owner_quant,owner_type_INDIVIDUAL,owner_type_RENOUNCED,owner_type_UNKNOWN,source_01121994.eth,source_Binance,source_Bitget,source_Bybit,source_Coinbase,source_FixedFloat,source_Gate.io,source_INDIVIDUAL,source_Kraken,source_Kucoin,source_Mexc,source_SideShift,source_cemedeul.eth,source_tsunamitreasury.eth,holds_qty,holds_amt,spoofed_qty,spoofed_pct,snipers_qty,snipers_pct,fresh_qty,fresh_pct,whales_qty,whales_pct,safu_score_qty,printed
8417,3.0,28.0,2.0,0.6923076923076923,943.0,11,7,2,0.0,103.0,3624,63,75,5,4.9,10,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,7.4,0.0,0.0,10.0,15.8,6.0,10.0,0.0,0.0,12,False
51284,4.6,488.0,332.0,0.4461538461538462,9909.0,34,24,1,1.0,188.0,7798,21,80,0,0,14,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,70.4,1.0,0.4,14.0,10.0,6.0,1.8,1.0,1.8,44,True
14927,3.8,192.0,174.0,0.3333333333333333,12331.0,50,23,3,15.0,299.0,7013,21,91,5,9.1,35,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,47.7,1.0,0.1,4.0,2.7,2.0,0.6,0.0,0.0,105,False
16258,4.0,75.0,0.0,0.0,3710.0,32,9,1440,0.0,162.0,3775,27,83,10,24.7,8,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,21.3,0.0,0.0,2.0,2.0,11.0,10.3,0.0,0.0,29,False
27762,3.4,541.0,387.0,0.4461538461538462,9911.0,48,38,1,1.0,377.0,20217,19,90,0,0,14,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,68.9,1.0,0.4,9.0,5.1,7.0,1.9,1.0,1.8,195,True
132632,11.8,,161.0,0.21428571428571427,6244.0,24,20,3,1.0,94.0,399303,11,100,5,6.2,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,100.1,0.0,0.0,9.0,11.2,5.0,7.7,1.0,0.8,30,False
19446,4.3,33.0,0.0,0.8823529411764706,367.0,3,1,7,0.0,94.0,3385,12,84,0,9.2,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,280.0,0.0,0.0,20.0,0.4,16.0,0.0,3.0,5.3,38,False
21349,3.0,588.0,447.0,0.4461538461538462,9916.0,13,4,2,1.0,94.0,7839,21,79,0,0,14,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,148.5,1.0,0.5,7.0,5.0,5.0,1.8,2.0,2.3,43,False
856,0.3,34.0,1.0,0.0,1232.0,27,22,2880,0.0,301.0,3499,26,85,0,0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,74.3,0.0,0.0,1.0,0.5,11.0,5.5,0.0,0.0,40,True
1188,0.4,34.0,1.0,0.0,1232.0,27,22,2880,0.0,67.0,5595,33,87,0,0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,74.2,0.0,0.0,1.0,0.5,11.0,5.5,0.0,0.0,31,True
16979,1.5,404.0,5.0,0.0,1232.0,29,23,2880,0.0,56.0,6430,37,75,0,0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,134.3,0.0,0.0,1.0,0.5,12.0,5.9,1.0,0.5,392,False
286471,8.8,,27.0,0.6666666666666666,13917.0,9,8,1,4.0,566.0,7824,21,79,0,0,19,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,76.0,0.0,0.0,4.0,1.0,3.0,18.7,0.0,0.0,43,False
48199,8.5,306.0,261.0,0.55,9033.0,26,14,1440,2.0,507.0,23327,17,100,0,0,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,405.1,0.0,0.0,4.0,3.0,3.0,11.1,3.0,4.6,4,False
99101,8.6,274.0,112.0,0.7157360406091371,652.0,12,7,1,0.0,188.0,91514,18,100,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,207.3,0.0,0.0,19.0,18.7,4.0,3.6,2.0,2.3,5,False
89960,8.2,306.0,135.0,0.7157360406091371,652.0,21,15,1,0.0,94.0,3287,8,94,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,207.9,0.0,0.0,19.0,18.4,4.0,3.6,2.0,2.3,33,False
149378,6.4,,66.0,0.6666666666666666,13910.0,17,17,1,4.0,309.0,5245,24,100,0,0,19,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,73.2,0.0,0.0,3.0,0.9,2.0,18.3,0.0,0.0,14,False
36702,6.0,220.0,179.0,0.3333333333333333,12788.0,56,30,3,15.0,188.0,3858,17,98,5,7.7,35,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,50.4,1.0,0.1,4.0,2.7,2.0,0.6,0.0,0.0,87,True
467692,11.8,,171.0,0.7857142857142857,0.0,7202,7201,7200,3.0,1130.0,11380,22,92,3,3,18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,123.0,95.9,0.0,0.0,1.0,0.4,6.0,31.4,0.0,0.0,38,False
1554,0.6,23.0,0.0,0.0,856.0,26,23,1,0.0,54.0,4553,22,63,0,0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,21.4,0.0,0.0,1.0,0.8,4.0,3.6,0.0,0.0,56,True
9320,2.2,30.0,0.0,0.6923076923076923,369.0,5765,0,5760,1.0,188.0,6221,37,75,20,35.7,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,64.3,0.0,0.0,23.0,28.4,1.0,0.8,1.0,1.6,393,True
