,mcap,liquidity,scams,worth,contract_age,pair_age,wallet,safu_score,buy_tax,owner_type_UNKNOWN,source_Coinbase,source_Kraken,source_SideShift,holds_qty,holds_amt,spoofed_qty,snipers_qty,whales_pct,printed
43,6866,1.7,0.4871794871794871,239.0,18,0,3128,56,0.0,0.0,0.0,0.0,0.0,42.0,32.8,0.0,24.0,0.0,False
44,10723,2.1,0.4871794871794871,239.0,19,1,4549,99,0.0,0.0,0.0,0.0,0.0,60.0,44.9,0.0,24.0,0.0,False
45,17088,2.7,0.4871794871794871,239.0,19,1,11610,80,0.0,0.0,0.0,0.0,0.0,86.0,123.2,0.0,24.0,0.6,False
46,25432,3.3,0.4871794871794871,239.0,20,1,6634,90,0.0,0.0,0.0,0.0,0.0,91.0,115.4,0.0,24.0,0.6,False
47,74824,13.2,0.6798679867986799,20604.0,54,34,18472,100,2.0,0.0,0.0,0.0,0.0,218.0,304.6,1.0,19.0,2.6,False
48,39662,4.2,0.4871794871794871,4195.0,30,11,6156,93,0.0,0.0,0.0,0.0,0.0,172.0,117.4,0.0,14.0,0.6,False
49,44024,11.6,0.65,13.0,537138,537138,5694,75,0.0,0.0,0.0,0.0,0.0,169.0,440.7,0.0,0.0,2.7,False
50,61091,5.2,0.4871794871794871,9078.0,33,14,5548,100,0.0,0.0,0.0,0.0,0.0,192.0,233.4,0.0,14.0,2.6,False
51,90619,6.3,0.4871794871794871,9110.0,34,16,6465,85,0.0,0.0,0.0,0.0,0.0,204.0,247.8,0.0,14.0,2.6,False
52,3070,1.3,0.0,1082.0,9,0,29210,72,56.0,0.0,0.0,0.0,0.0,24.0,41.1,0.0,15.0,0.0,True
53,17326,2.7,0.4461538461538462,988.0,1448,1448,7412,100,0.0,0.0,0.0,0.0,0.0,60.0,47.8,0.0,1.0,1.0,False
54,5721,1.8,0.0,1078.0,10,2,4136,43,28.0,0.0,0.0,0.0,0.0,44.0,73.8,0.0,15.0,0.0,False
55,11591,2.9,0.55,630.0,6,0,6900,75,0.0,0.0,0.0,0.0,0.0,26.0,32.9,0.0,13.0,0.0,True
56,8043,2.0,0.0,7856.0,17,0,3145,98,25.0,0.0,0.0,0.0,0.0,10.0,15.8,0.0,8.0,0.0,True
57,23493,5.0,0.8571428571428571,946.0,4,3,7053,100,0.0,1.0,0.0,0.0,0.0,39.0,18.6,0.0,16.0,0.0,True
58,8043,2.0,0.0,7856.0,17,0,15406,76,25.0,0.0,0.0,0.0,0.0,27.0,38.3,0.0,8.0,0.0,False
59,13656,2.6,0.0,12261.0,19,1,7874,100,25.0,0.0,0.0,0.0,0.0,56.0,64.7,0.0,7.0,0.0,True
60,56524,5.2,0.4871794871794871,9110.0,55,37,5917,93,0.0,0.0,0.0,0.0,0.0,408.0,349.6,1.0,1.0,4.1,False
