cleaned
mcap,liquidity,buy,sell,scams,worth,contract_age,pair_age,funding_time,source,airdrops,amount,wallet,ape_score,safu_score,buy_tax,sell_tax,owner_type,owner_quant,holds_qty,holds_amt,spoofed_qty,spoofed_pct,snipers_qty,snipers_pct,fresh_qty,fresh_pct,whales_qty,whales_pct,safu_score_qty,printed
856,0.3,34,1,0.0,1232.0,27,22,2880,INDIVIDUAL,0.0,301.0,3499,26,85,0,0,INDIVIDUAL,6,46.0,74.3,0.0,0.0,1.0,0.5,11.0,5.5,0.0,0.0,40,TRUE
1188,0.4,34,1,0.0,1232.0,27,22,2880,INDIVIDUAL,0.0,67.0,5595,33,87,0,0,INDIVIDUAL,6,46.0,74.2,0.0,0.0,1.0,0.5,11.0,5.5,0.0,0.0,31,TRUE
16979,1.5,404,5,0.0,1232.0,29,23,2880,INDIVIDUAL,0.0,56.0,6430,37,75,0,0,INDIVIDUAL,6,180.0,134.3,0.0,0.0,1.0,0.5,12.0,5.9,1.0,0.5,392,FALSE
286471,8.8,,27,0.6666666666666670,13917.0,9,8,1,Binance,4.0,566.0,7824,21,79,0,0,RENOUNCED,19,99.0,76.0,0.0,0.0,4.0,1.0,3.0,18.7,0.0,0.0,43,FALSE
48199,8.5,306,261,0.55,9033.0,26,14,1440,INDIVIDUAL,2.0,507.0,23327,17,100,0,0,RENOUNCED,16,114.0,405.1,0.0,0.0,4.0,3.0,3.0,11.1,3.0,4.6,4,FALSE
99101,8.6,274,112,0.7157360406091370,652.0,12,7,1,FixedFloat,0.0,188.0,91514,18,100,0,0,INDIVIDUAL,10,125.0,207.3,0.0,0.0,19.0,18.7,4.0,3.6,2.0,2.3,5,FALSE
89960,8.2,306,135,0.7157360406091370,652.0,21,15,1,FixedFloat,0.0,94.0,3287,8,94,0,0,INDIVIDUAL,10,134.0,207.9,0.0,0.0,19.0,18.4,4.0,3.6,2.0,2.3,33,FALSE
149378,6.4,,66,0.6666666666666670,13910.0,17,17,1,Binance,4.0,309.0,5245,24,100,0,0,RENOUNCED,19,84.0,73.2,0.0,0.0,3.0,0.9,2.0,18.3,0.0,0.0,14,FALSE
36702,6.0,220,179,0.3333333333333330,12788.0,56,30,3,Binance,15.0,188.0,3858,17,98,5,7.7,RENOUNCED,35,104.0,50.4,1.0,0.1,4.0,2.7,2.0,0.6,0.0,0.0,87,TRUE
467692,11.8,,171,0.7857142857142860,0.0,7202,7201,7200,Kucoin,3.0,1130.0,11380,22,92,3,3,RENOUNCED,18,123.0,95.9,0.0,0.0,1.0,0.4,6.0,31.4,0.0,0.0,38,FALSE
1554,0.6,23,0,0.0,856.0,26,23,1,INDIVIDUAL,0.0,54.0,4553,22,63,0,0,INDIVIDUAL,6,24.0,21.4,0.0,0.0,1.0,0.8,4.0,3.6,0.0,0.0,56,TRUE
9320,2.2,30,0,0.6923076923076920,369.0,5765,0,5760,FixedFloat,1.0,188.0,6221,37,75,20,35.7,INDIVIDUAL,5,33.0,64.3,0.0,0.0,23.0,28.4,1.0,0.8,1.0,1.6,393,TRUE
